2026-02-09 21:54:55 | INFO     | config | Loaded config from C:\picko-scripts\config\config.yml
2026-02-09 21:54:55 | INFO     | generate_content | ContentGenerator initialized
2026-02-09 21:54:55 | INFO     | generate_content | Starting content generation for 2026-02-09, types: ['longform', 'packs', 'images']
2026-02-09 21:54:55 | INFO     | generate_content | Found 1 approved items
2026-02-09 21:54:55 | INFO     | generate_content | Generating longform for: input_7ce483b7a9e4
2026-02-09 21:54:55 | INFO     | vault_io | Wrote note: c:\picko-scripts\mock_vault\Content\Longform\longform_input_7ce483b7a9e4.md
2026-02-09 21:54:55 | INFO     | generate_content | Created longform: Content/Longform/longform_input_7ce483b7a9e4.md
2026-02-09 21:54:55 | INFO     | generate_content | Generating packs for: input_7ce483b7a9e4
2026-02-09 21:54:55 | INFO     | vault_io | Wrote note: c:\picko-scripts\mock_vault\Content\Packs\twitter\pack_input_7ce483b7a9e4_twitter.md
2026-02-09 21:54:55 | INFO     | generate_content | Created pack: Content/Packs/twitter/pack_input_7ce483b7a9e4_twitter.md
2026-02-09 21:54:55 | INFO     | vault_io | Wrote note: c:\picko-scripts\mock_vault\Content\Packs\linkedin\pack_input_7ce483b7a9e4_linkedin.md
2026-02-09 21:54:55 | INFO     | generate_content | Created pack: Content/Packs/linkedin/pack_input_7ce483b7a9e4_linkedin.md
2026-02-09 21:54:55 | INFO     | vault_io | Wrote note: c:\picko-scripts\mock_vault\Content\Packs\newsletter\pack_input_7ce483b7a9e4_newsletter.md
2026-02-09 21:54:55 | INFO     | generate_content | Created pack: Content/Packs/newsletter/pack_input_7ce483b7a9e4_newsletter.md
2026-02-09 21:54:55 | INFO     | generate_content | Generating image prompt for: input_7ce483b7a9e4
2026-02-09 21:54:55 | INFO     | vault_io | Wrote note: c:\picko-scripts\mock_vault\Assets\Images\_prompts\img_input_7ce483b7a9e4.md
2026-02-09 21:54:55 | INFO     | generate_content | Created image prompt: Assets/Images/_prompts/img_input_7ce483b7a9e4.md
2026-02-09 21:54:55 | INFO     | generate_content | Content generation complete: {'date': '2026-02-09', 'approved_items': 1, 'longform_created': 1, 'packs_created': 3, 'image_prompts_created': 1, 'errors': []}
